State / UT,Year of GE to SLA,Reserved SC Seats,Reserved ST Seats,Total No. of Seats,No. Of Male Contestants,No. Of Female Contestants,No. Of Transgender Contestants,Total number of contestents,Elected Male Candidates,Elected Female Candidates,Elected Transgender Candidates,Total number of Candidates,Elected Female perc,Forfeited Deposits Male,Forfeited Deposits Female,Forfeited Deposits Transgender,Total Deposits,Average Contestants Per Constituency,Male Electors ,Female Electors ,Total Electors,Male Electors Who Voted,Female Electors Who Voted ,Total Votes Polled,Male Polling Percentage Excluding Postal Ballots,Female Polling Percentage Excluding Postal Ballots,State Poll perc,No of Polling Stations ,Average Number of Electors per PS,Postal Votes,Rejected Postal Votes,NOTA
Chhattisgarh,2023,10,29,90,1025,155,1,1181,71,19,0,90,21.1,871,121,1,993,13,10154.6,10257.5,20412.8,7749.2,7813.2,15666.5,76.3,76.2,76.8,24137,846,103861,9732,197678
Karnataka,2023,36,15,224,2429,185,1,2615,214,10,0,224,4.5,1950,160,1,2111,12,26727.1,26399.6,53131.6,19665.2,19191.1,39229.9,73.6,72.7,73.8,58534,908,372516,49280,269764
Madhya Pradesh,2023,35,47,230,2281,252,1,2534,203,27,0,230,11.7,1846,194,1,2041,11,28855.3,27201.4,56058,22503.5,20690.3,43580.9,78,76.1,77.7,64626,867,386479,46125,427710
Meghalaya,2023,0,55,60,339,36,0,375,57,3,0,60,5,197,24,0,221,6,1080,1099.1,2179.1,897.6,958.9,1891.8,83.1,87.2,86.8,3482,626,35260,2510,14952
Mizoram,2023,0,39,40,156,18,0,174,37,3,0,40,7.5,56,12,0,68,4,418.5,438.6,857.1,330.7,356.7,705.1,79,81.3,82.3,1276,672,17726,843,2779
Nagaland,2023,0,59,60,180,4,0,184,58,2,0,60,3.3,55,1,0,56,3,655.4,650,1305.3,554.5,571,1150,84.6,87.8,88.1,2291,570,24514,1905,3512
Rajasthan,2023,34,25,200,1692,183,0,1875,180,20,0,200,10,1293,128,0,1421,9,27612.2,25318.3,52931.2,20487.9,18919.4,39874.6,74.2,74.7,75.3,52139,1015,466943,39112,383107
Telangana,2023,19,12,119,2067,222,1,2290,109,10,0,119,8.4,1816,198,1,2015,19,16313.3,16302.2,32618.3,11586.9,11674.3,23474.3,71,71.6,72,35655,915,212363,11852,171953
Tripura,2023,10,20,60,229,30,0,259,51,9,0,60,15,109,11,0,120,4,1425.4,1399.4,2824.9,1220.9,1249.4,2537.8,85.7,89.3,89.8,3337,847,67422,3598,34449
Goa,2022,1,0,40,275,26,0,301,37,3,0,40,7.5,186,19,0,205,8,566.5,598,1164.5,442.7,484.1,953.7,78.2,81,81.9,1722,676,26828,3229,10629
Gujarat,2022,13,27,182,1483,138,0,1621,167,15,0,182,8.2,1118,113,0,1231,9,25386.8,23775,49163.3,16926.7,14680.2,31879.2,66.7,61.8,64.8,51839,948,271911,39964,501202
Himachal Pradesh,2022,17,3,68,388,24,0,412,67,1,0,68,1.5,247,14,0,261,6,2854.9,2737.8,5592.8,2020.5,2101.7,4238.4,70.8,76.8,75.8,7884,709,116203,18253,24861
Manipur,2022,1,19,60,248,17,0,265,55,5,0,60,8.3,104,9,0,113,4,1012,1058,2070.1,870.8,957.5,1868.9,86,90.5,90.3,2968,697,40426,4799,10349
Punjab,2022,34,0,117,1209,93,2,1304,104,13,0,117,11.1,931,69,2,1002,11,11405.3,10203.4,21609.5,8134,7335.9,15590.9,71.3,71.9,72.2,24740,873,120742,23800,110320
Uttar Pradesh,2022,84,2,403,3880,559,3,4442,356,47,0,403,11.7,3062,454,3,3519,11,81078.3,70159,151246.2,48112.3,43651.5,92301,59.3,62.2,61,174803,865,536755,94413,637313
Uttarakhand ,2022,13,2,70,569,63,0,632,62,8,0,70,11.4,428,49,0,477,9,4330.8,3935.5,8266.6,2653.5,2643,5407.5,61.3,67.2,65.4,11697,707,110938,24122,46818
Assam,2021,8,16,126,870,76,0,946,120,6,0,126,4.8,623,57,0,680,8,11884.9,11551.6,23436.9,9698.1,9473.4,19315.8,81.6,82,82.4,33530,699,144310,28023,219578
Kerala,2021,14,2,140,851,105,1,957,129,11,0,140,7.9,568,75,1,644,7,13338.8,14164.7,27503.8,9850.9,10473.1,20903.2,73.8,73.9,76,40771,675,579141,67701,97693
Puducherry,2021,5,0,30,288,36,0,324,29,1,0,30,3.3,227,33,0,260,11,472.9,531.4,1004.5,383.4,436.8,837.5,81.1,82.2,83.4,1558,645,17237,980,10803
Tamil Nadu,2021,44,2,234,3583,413,2,3998,222,12,0,234,5.1,3136,380,2,3518,17,30995.8,31940.7,62943.7,22589,23190.6,46344.6,72.9,72.6,73.6,88937,708,563506,73560,345591
West Bengal,2021,68,16,294,1892,240,0,2132,254,40,0,294,13.6,1354,154,0,1508,7,37477.6,35935.6,73414.7,30495.8,29377.6,60419.7,81.4,81.8,82.3,101916,720,545914,73237,654449
Bihar,2020,38,2,243,3362,370,1,3733,217,26,0,243,10.7,2902,302,1,3205,15,38789.4,34855.8,73647.7,21121.4,20805,42194.1,54.5,59.7,57.3,106515,691,267607,37872,706295
Delhi,2020,12,0,70,593,79,0,672,62,8,0,70,11.4,465,64,0,529,10,8115.5,6681.6,14798,5079.8,4176.5,9295.8,62.6,62.5,62.5,13751,1076,39216,7138,43109
Andhra Pradesh,2019,29,7,175,1906,211,1,2118,161,14,0,175,8,1577,174,1,1752,12,19521.1,19880.9,39405.9,15567.4,15816.9,31680.1,79.8,79.6,78.7,45959,857,295003,56545,401315
